"","yhat","yhat","yhat"
"",4704924,4426855,4431703
"",0,0,0
"",1066,2061,1239
"",1582,2159,1508
"",2226,2646,2591
"",4616,4133,3091
"",4824,4145,4928
"",5075,5197,5812
"2",2677.37296236639,2896.66380953081,3429.27949278072
"3",267.147357700811,514.639105960163,310.133286594468
"4",2677.37296236639,2896.66380953081,3429.27949278072
"5",2677.37296236639,2896.66380953081,3429.27949278072
"6",2677.37296236639,2250.72040151841,2444.92907874034
"7",2677.37296236639,2250.72040151841,2444.92907874034
"8",2677.37296236639,2896.66380953081,3429.27949278072
"9",2677.37296236639,2896.66380953081,3429.27949278072
"10",928.992291786587,514.639105960163,997.371053589795
"11",2677.37296236639,2896.66380953081,2444.92907874034
"12",2677.37296236639,1563.86587682805,1710.61179067841
"13",2677.37296236639,2896.66380953081,3429.27949278072
"14",2677.37296236639,3762.22652073071,3429.27949278072
"15",2677.37296236639,2896.66380953081,2444.92907874034
"16",2677.37296236639,2896.66380953081,3429.27949278072
"17",2677.37296236639,2250.72040151841,2444.92907874034
"18",2677.37296236639,1563.86587682805,1710.61179067841
"19",928.992291786587,1563.86587682805,997.371053589795
"20",5973.28813374757,5834.54006509869,4692.17033871604
"21",2677.37296236639,2896.66380953081,3429.27949278072
"22",2677.37296236639,2250.72040151841,2444.92907874034
"23",2677.37296236639,2896.66380953081,2444.92907874034
"24",2677.37296236639,2896.66380953081,2444.92907874034
"25",928.992291786587,1563.86587682805,997.371053589795
"26",2677.37296236639,2896.66380953081,2444.92907874034
"27",267.147357700811,514.639105960163,310.133286594468
"28",267.147357700811,514.639105960163,310.133286594468
"29",2677.37296236639,2896.66380953081,3429.27949278072
"30",4829.52521519852,5834.54006509869,4692.17033871604
"31",2677.37296236639,1563.86587682805,2444.92907874034
"32",1622.63514379481,1563.86587682805,1710.61179067841
"33",2677.37296236639,2896.66380953081,2444.92907874034
"34",2677.37296236639,2896.66380953081,3429.27949278072
"35",2677.37296236639,2250.72040151841,2444.92907874034
"36",1622.63514379481,1563.86587682805,1710.61179067841
"37",2677.37296236639,3762.22652073071,3429.27949278072
"38",928.992291786587,1563.86587682805,997.371053589795
"39",2677.37296236639,1563.86587682805,1710.61179067841
"40",2677.37296236639,2250.72040151841,2444.92907874034
"41",2677.37296236639,2896.66380953081,2444.92907874034
"42",2677.37296236639,2250.72040151841,2444.92907874034
"43",4072.81983410831,3762.22652073071,3429.27949278072
"44",2677.37296236639,2896.66380953081,3429.27949278072
"45",267.147357700811,514.639105960163,310.133286594468
"46",4072.81983410831,3762.22652073071,3429.27949278072
"47",267.147357700811,514.639105960163,310.133286594468
"48",2677.37296236639,2896.66380953081,3429.27949278072
"49",1622.63514379481,1563.86587682805,1710.61179067841
"50",4072.81983410831,3762.22652073071,3429.27949278072
"51",2677.37296236639,1563.86587682805,1710.61179067841
"52",2677.37296236639,2896.66380953081,2444.92907874034
"53",4829.52521519852,5834.54006509869,4692.17033871604
"54",2677.37296236639,2896.66380953081,3429.27949278072
"55",2677.37296236639,2896.66380953081,2444.92907874034
"56",267.147357700811,514.639105960163,310.133286594468
"57",1622.63514379481,1563.86587682805,997.371053589795
"58",267.147357700811,514.639105960163,310.133286594468
"59",2677.37296236639,2896.66380953081,2444.92907874034
"60",2677.37296236639,1563.86587682805,2444.92907874034
"61",1622.63514379481,1563.86587682805,1710.61179067841
"62",2677.37296236639,2896.66380953081,2444.92907874034
"63",267.147357700811,514.639105960163,310.133286594468
"64",267.147357700811,514.639105960163,310.133286594468
"65",5973.28813374757,5834.54006509869,6184.44590099257
"66",1622.63514379481,1563.86587682805,997.371053589795
"67",267.147357700811,514.639105960163,310.133286594468
"68",4072.81983410831,3762.22652073071,3429.27949278072
"69",2677.37296236639,2896.66380953081,2444.92907874034
"70",267.147357700811,514.639105960163,310.133286594468
"71",2677.37296236639,1563.86587682805,1710.61179067841
"72",2677.37296236639,2250.72040151841,2444.92907874034
"73",4072.81983410831,3762.22652073071,4692.17033871604
"74",267.147357700811,514.639105960163,310.133286594468
"75",267.147357700811,514.639105960163,310.133286594468
"76",5973.28813374757,5834.54006509869,4692.17033871604
"77",928.992291786587,1563.86587682805,997.371053589795
"78",2677.37296236639,2896.66380953081,2444.92907874034
"79",5973.28813374757,5834.54006509869,4692.17033871604
"80",267.147357700811,514.639105960163,310.133286594468
"81",1622.63514379481,1563.86587682805,997.371053589795
"82",2677.37296236639,2896.66380953081,2444.92907874034
"83",267.147357700811,514.639105960163,310.133286594468
"84",2677.37296236639,2896.66380953081,2444.92907874034
"85",4072.81983410831,3762.22652073071,3429.27949278072
"86",267.147357700811,514.639105960163,310.133286594468
"87",267.147357700811,514.639105960163,310.133286594468
"88",1622.63514379481,1563.86587682805,1710.61179067841
"89",1622.63514379481,1563.86587682805,1710.61179067841
"90",5973.28813374757,5834.54006509869,4692.17033871604
"91",267.147357700811,514.639105960163,310.133286594468
"92",2677.37296236639,2250.72040151841,2444.92907874034
"93",267.147357700811,514.639105960163,310.133286594468
"94",1622.63514379481,1563.86587682805,1710.61179067841
"95",4072.81983410831,3762.22652073071,3429.27949278072
"96",267.147357700811,514.639105960163,310.133286594468
"97",2677.37296236639,2250.72040151841,2444.92907874034
"98",928.992291786587,514.639105960163,997.371053589795
"99",267.147357700811,514.639105960163,310.133286594468
"100",2677.37296236639,2250.72040151841,2444.92907874034
"101",267.147357700811,514.639105960163,310.133286594468
"102",2677.37296236639,1563.86587682805,1710.61179067841
"103",267.147357700811,514.639105960163,310.133286594468
"104",928.992291786587,514.639105960163,997.371053589795
"105",2677.37296236639,2896.66380953081,3429.27949278072
"106",2677.37296236639,2896.66380953081,3429.27949278072
"107",2677.37296236639,2896.66380953081,2444.92907874034
"108",2677.37296236639,2896.66380953081,2444.92907874034
"109",2677.37296236639,2250.72040151841,2444.92907874034
"110",928.992291786587,514.639105960163,310.133286594468
"111",928.992291786587,514.639105960163,997.371053589795
"112",1622.63514379481,1563.86587682805,1710.61179067841
"113",267.147357700811,514.639105960163,310.133286594468
"114",267.147357700811,514.639105960163,310.133286594468
"115",4072.81983410831,3762.22652073071,4692.17033871604
"116",2677.37296236639,2896.66380953081,3429.27949278072
"117",267.147357700811,514.639105960163,310.133286594468
"118",2677.37296236639,2896.66380953081,2444.92907874034
"119",267.147357700811,514.639105960163,310.133286594468
"120",928.992291786587,514.639105960163,997.371053589795
"121",928.992291786587,1563.86587682805,997.371053589795
"122",5973.28813374757,5834.54006509869,6184.44590099257
"123",267.147357700811,514.639105960163,310.133286594468
"124",4072.81983410831,4401.59640694912,4692.17033871604
"125",928.992291786587,514.639105960163,997.371053589795
"126",267.147357700811,514.639105960163,310.133286594468
"127",4072.81983410831,3762.22652073071,4692.17033871604
"128",928.992291786587,1563.86587682805,997.371053589795
"129",4829.52521519852,5834.54006509869,4692.17033871604
"130",267.147357700811,514.639105960163,310.133286594468
"131",2677.37296236639,1563.86587682805,1710.61179067841
"132",2677.37296236639,2896.66380953081,3429.27949278072
"133",267.147357700811,514.639105960163,310.133286594468
"134",267.147357700811,514.639105960163,310.133286594468
"135",4072.81983410831,3762.22652073071,3429.27949278072
"136",1622.63514379481,1563.86587682805,997.371053589795
"137",2677.37296236639,2896.66380953081,3429.27949278072
"138",2677.37296236639,2250.72040151841,2444.92907874034
"139",267.147357700811,514.639105960163,310.133286594468
"140",267.147357700811,514.639105960163,310.133286594468
"141",267.147357700811,514.639105960163,310.133286594468
"142",928.992291786587,514.639105960163,997.371053589795
"143",2677.37296236639,2250.72040151841,2444.92907874034
"144",2677.37296236639,2250.72040151841,2444.92907874034
"145",267.147357700811,514.639105960163,310.133286594468
"146",267.147357700811,514.639105960163,310.133286594468
"147",1622.63514379481,1563.86587682805,1710.61179067841
"148",267.147357700811,514.639105960163,310.133286594468
"149",4072.81983410831,3762.22652073071,3429.27949278072
"150",267.147357700811,514.639105960163,310.133286594468
"151",267.147357700811,514.639105960163,310.133286594468
"152",1622.63514379481,1563.86587682805,1710.61179067841
