Date,year,appl
1998-01-01,1998-01-01,0
1998-02-01,1998-02-01,0
1998-03-01,1998-03-01,0
1998-04-01,1998-04-01,0
1998-05-01,1998-05-01,0
1998-06-01,1998-06-01,3
1998-07-01,1998-07-01,37
1998-08-01,1998-08-01,130
1998-09-01,1998-09-01,509
1998-10-01,1998-10-01,44
1998-11-01,1998-11-01,0
1998-12-01,1998-12-01,7
1999-01-01,1999-01-01,0
1999-02-01,1999-02-01,0
1999-03-01,1999-03-01,0
1999-04-01,1999-04-01,0
1999-05-01,1999-05-01,0
1999-06-01,1999-06-01,0
1999-07-01,1999-07-01,1
1999-08-01,1999-08-01,63
1999-09-01,1999-09-01,209
1999-10-01,1999-10-01,60
1999-11-01,1999-11-01,0
1999-12-01,1999-12-01,0
2000-01-01,2000-01-01,0
2000-02-01,2000-02-01,0
2000-03-01,2000-03-01,11
2000-04-01,2000-04-01,1
2000-05-01,2000-05-01,1
2000-06-01,2000-06-01,1
2000-07-01,2000-07-01,1
2000-08-01,2000-08-01,136
2000-09-01,2000-09-01,265
2000-10-01,2000-10-01,18
2000-11-01,2000-11-01,0
2000-12-01,2000-12-01,0
2001-01-01,2001-01-01,0
2001-02-01,2001-02-01,0
2001-03-01,2001-03-01,0
2001-04-01,2001-04-01,0
2001-05-01,2001-05-01,0
2001-06-01,2001-06-01,1
2001-07-01,2001-07-01,3
2001-08-01,2001-08-01,396
2001-09-01,2001-09-01,290
2001-10-01,2001-10-01,137
2001-11-01,2001-11-01,1
2001-12-01,2001-12-01,0
2002-01-01,2002-01-01,0
2002-02-01,2002-02-01,1
2002-03-01,2002-03-01,0
2002-04-01,2002-04-01,0
2002-05-01,2002-05-01,0
2002-06-01,2002-06-01,0
2002-07-01,2002-07-01,39
2002-08-01,2002-08-01,728
2002-09-01,2002-09-01,1949
2002-10-01,2002-10-01,687
2002-11-01,2002-11-01,86
2002-12-01,2002-12-01,1
2003-01-01,2003-01-01,10
2003-02-01,2003-02-01,0
2003-03-01,2003-03-01,0
2003-04-01,2003-04-01,1
2003-05-01,2003-05-01,6
2003-06-01,2003-06-01,0
2003-07-01,2003-07-01,168
2003-08-01,2003-08-01,1976
2003-09-01,2003-09-01,3942
2003-10-01,2003-10-01,740
2003-11-01,2003-11-01,15
2003-12-01,2003-12-01,1
2004-01-01,2004-01-01,0
2004-02-01,2004-02-01,3
2004-03-01,2004-03-01,0
2004-04-01,2004-04-01,2
2004-05-01,2004-05-01,7
2004-06-01,2004-06-01,5
2004-07-01,2004-07-01,42
2004-08-01,2004-08-01,645
2004-09-01,2004-09-01,1978
2004-10-01,2004-10-01,461
2004-11-01,2004-11-01,10
2004-12-01,2004-12-01,7
2005-01-01,2005-01-01,12
2005-02-01,2005-02-01,0
2005-03-01,2005-03-01,3
2005-04-01,2005-04-01,1
2005-05-01,2005-05-01,2
2005-06-01,2005-06-01,27
2005-07-01,2005-07-01,368
2005-08-01,2005-08-01,4198
2005-09-01,2005-09-01,4253
2005-10-01,2005-10-01,547
2005-11-01,2005-11-01,14
2005-12-01,2005-12-01,2
2006-01-01,2006-01-01,4
2006-02-01,2006-02-01,0
2006-03-01,2006-03-01,0
2006-04-01,2006-04-01,0
2006-05-01,2006-05-01,8
2006-06-01,2006-06-01,1
2006-07-01,2006-07-01,33
2006-08-01,2006-08-01,839
2006-09-01,2006-09-01,237
2006-10-01,2006-10-01,316
2006-11-01,2006-11-01,18
2006-12-01,2006-12-01,0
2007-01-01,2007-01-01,0
2007-02-01,2007-02-01,5
2007-03-01,2007-03-01,2
2007-04-01,2007-04-01,0
2007-05-01,2007-05-01,1
2007-06-01,2007-06-01,4
2007-07-01,2007-07-01,29
2007-08-01,2007-08-01,960
2007-09-01,2007-09-01,208
2007-10-01,2007-10-01,203
2007-11-01,2007-11-01,7
2007-12-01,2007-12-01,0
2008-01-01,2008-01-01,0
2008-02-01,2008-02-01,0
2008-03-01,2008-03-01,0
2008-04-01,2008-04-01,0
2008-05-01,2008-05-01,0
2008-06-01,2008-06-01,0
2008-07-01,2008-07-01,41
2008-08-01,2008-08-01,445
2008-09-01,2008-09-01,1666
2008-10-01,2008-10-01,652
2008-11-01,2008-11-01,4
2008-12-01,2008-12-01,0
2009-01-01,2009-01-01,0
2009-02-01,2009-02-01,2
2009-03-01,2009-03-01,1
2009-04-01,2009-04-01,0
2009-05-01,2009-05-01,3
2009-06-01,2009-06-01,0
2009-07-01,2009-07-01,31
2009-08-01,2009-08-01,194
2009-09-01,2009-09-01,1265
2009-10-01,2009-10-01,565
2009-11-01,2009-11-01,33
2009-12-01,2009-12-01,1
2010-01-01,2010-01-01,1
2010-02-01,2010-02-01,0
2010-03-01,2010-03-01,0
2010-04-01,2010-04-01,3
2010-05-01,2010-05-01,9
2010-06-01,2010-06-01,1
2010-07-01,2010-07-01,126
2010-08-01,2010-08-01,1682
2010-09-01,2010-09-01,2531
2010-10-01,2010-10-01,292
2010-11-01,2010-11-01,39
2010-12-01,2010-12-01,0
2011-01-01,2011-01-01,0
2011-02-01,2011-02-01,0
2011-03-01,2011-03-01,0
2011-04-01,2011-04-01,2
2011-05-01,2011-05-01,3
2011-06-01,2011-06-01,10
2011-07-01,2011-07-01,93
2011-08-01,2011-08-01,425
2011-09-01,2011-09-01,1204
2011-10-01,2011-10-01,97
2011-11-01,2011-11-01,74
