Date,year,appl
1998-01-01,1998-01-01,0
1998-02-01,1998-02-01,0
1998-03-01,1998-03-01,0
1998-04-01,1998-04-01,0
1998-05-01,1998-05-01,0
1998-06-01,1998-06-01,0
1998-07-01,1998-07-01,0
1998-08-01,1998-08-01,1
1998-09-01,1998-09-01,14
1998-10-01,1998-10-01,20
1998-11-01,1998-11-01,19
1998-12-01,1998-12-01,32
1999-01-01,1999-01-01,58
1999-02-01,1999-02-01,20
1999-03-01,1999-03-01,52
1999-04-01,1999-04-01,4
1999-05-01,1999-05-01,1
1999-06-01,1999-06-01,0
1999-07-01,1999-07-01,0
1999-08-01,1999-08-01,3
1999-09-01,1999-09-01,3
1999-10-01,1999-10-01,4
1999-11-01,1999-11-01,15
1999-12-01,1999-12-01,12
2000-01-01,2000-01-01,11
2000-02-01,2000-02-01,16
2000-03-01,2000-03-01,32
2000-04-01,2000-04-01,20
2000-05-01,2000-05-01,1
2000-06-01,2000-06-01,0
2000-07-01,2000-07-01,0
2000-08-01,2000-08-01,4
2000-09-01,2000-09-01,22
2000-10-01,2000-10-01,13
2000-11-01,2000-11-01,2
2000-12-01,2000-12-01,2
2001-01-01,2001-01-01,5
2001-02-01,2001-02-01,4
2001-03-01,2001-03-01,0
2001-04-01,2001-04-01,0
2001-05-01,2001-05-01,2
2001-06-01,2001-06-01,2
2001-07-01,2001-07-01,0
2001-08-01,2001-08-01,1
2001-09-01,2001-09-01,5
2001-10-01,2001-10-01,15
2001-11-01,2001-11-01,22
2001-12-01,2001-12-01,30
2002-01-01,2002-01-01,12
2002-02-01,2002-02-01,15
2002-03-01,2002-03-01,27
2002-04-01,2002-04-01,6
2002-05-01,2002-05-01,1
2002-06-01,2002-06-01,0
2002-07-01,2002-07-01,5
2002-08-01,2002-08-01,3
2002-09-01,2002-09-01,14
2002-10-01,2002-10-01,30
2002-11-01,2002-11-01,50
2002-12-01,2002-12-01,95
2003-01-01,2003-01-01,150
2003-02-01,2003-02-01,33
2003-03-01,2003-03-01,15
2003-04-01,2003-04-01,20
2003-05-01,2003-05-01,1
2003-06-01,2003-06-01,0
2003-07-01,2003-07-01,0
2003-08-01,2003-08-01,2
2003-09-01,2003-09-01,8
2003-10-01,2003-10-01,10
2003-11-01,2003-11-01,17
2003-12-01,2003-12-01,43
2004-01-01,2004-01-01,9
2004-02-01,2004-02-01,7
2004-03-01,2004-03-01,16
2004-04-01,2004-04-01,6
2004-05-01,2004-05-01,3
2004-06-01,2004-06-01,0
2004-07-01,2004-07-01,0
2004-08-01,2004-08-01,2
2004-09-01,2004-09-01,5
2004-10-01,2004-10-01,12
2004-11-01,2004-11-01,28
2004-12-01,2004-12-01,71
2005-01-01,2005-01-01,83
2005-02-01,2005-02-01,31
2005-03-01,2005-03-01,35
2005-04-01,2005-04-01,1
2005-05-01,2005-05-01,0
2005-06-01,2005-06-01,0
2005-07-01,2005-07-01,0
2005-08-01,2005-08-01,2
2005-09-01,2005-09-01,7
2005-10-01,2005-10-01,17
2005-11-01,2005-11-01,25
2005-12-01,2005-12-01,16
2006-01-01,2006-01-01,29
2006-02-01,2006-02-01,14
2006-03-01,2006-03-01,37
2006-04-01,2006-04-01,2
2006-05-01,2006-05-01,0
2006-06-01,2006-06-01,0
2006-07-01,2006-07-01,0
2006-08-01,2006-08-01,1
2006-09-01,2006-09-01,4
2006-10-01,2006-10-01,32
2006-11-01,2006-11-01,12
2006-12-01,2006-12-01,30
2007-01-01,2007-01-01,33
2007-02-01,2007-02-01,28
2007-03-01,2007-03-01,7
2007-04-01,2007-04-01,1
2007-05-01,2007-05-01,0
2007-06-01,2007-06-01,0
2007-07-01,2007-07-01,0
2007-08-01,2007-08-01,3
2007-09-01,2007-09-01,2
2007-10-01,2007-10-01,6
2007-11-01,2007-11-01,15
2007-12-01,2007-12-01,33
2008-01-01,2008-01-01,55
2008-02-01,2008-02-01,74
2008-03-01,2008-03-01,31
2008-04-01,2008-04-01,18
2008-05-01,2008-05-01,0
2008-06-01,2008-06-01,0
2008-07-01,2008-07-01,0
2008-08-01,2008-08-01,1
2008-09-01,2008-09-01,9
2008-10-01,2008-10-01,18
2008-11-01,2008-11-01,37
2008-12-01,2008-12-01,34
2009-01-01,2009-01-01,104
2009-02-01,2009-02-01,32
2009-03-01,2009-03-01,31
2009-04-01,2009-04-01,5
2009-05-01,2009-05-01,0
2009-06-01,2009-06-01,0
2009-07-01,2009-07-01,0
2009-08-01,2009-08-01,0
2009-09-01,2009-09-01,13
2009-10-01,2009-10-01,30
2009-11-01,2009-11-01,55
2009-12-01,2009-12-01,55
2010-01-01,2010-01-01,23
2010-02-01,2010-02-01,26
2010-03-01,2010-03-01,70
2010-04-01,2010-04-01,3
2010-05-01,2010-05-01,0
2010-06-01,2010-06-01,0
2010-07-01,2010-07-01,2
2010-08-01,2010-08-01,1
2010-09-01,2010-09-01,5
2010-10-01,2010-10-01,16
2010-11-01,2010-11-01,31
2010-12-01,2010-12-01,45
2011-01-01,2011-01-01,41
2011-02-01,2011-02-01,33
2011-03-01,2011-03-01,34
2011-04-01,2011-04-01,17
2011-05-01,2011-05-01,0
2011-06-01,2011-06-01,2
2011-07-01,2011-07-01,0
2011-08-01,2011-08-01,4
2011-09-01,2011-09-01,5
2011-10-01,2011-10-01,23
2011-11-01,2011-11-01,23
2011-12-01,2011-12-01,50
