Ano;Estado;Mes;Numero;Date
1998;Alagoas;1;0;1998-1-1
1998;Alagoas;2;0;1998-2-1
1998;Alagoas;3;0;1998-3-1
1998;Alagoas;4;0;1998-4-1
1998;Alagoas;5;0;1998-5-1
1998;Alagoas;6;0;1998-6-1
1998;Alagoas;7;0;1998-7-1
1998;Alagoas;8;1;1998-8-1
1998;Alagoas;9;14;1998-9-1
1998;Alagoas;10;20;1998-10-1
1998;Alagoas;11;19;1998-11-1
1998;Alagoas;12;32;1998-12-1
1999;Alagoas;1;58;1999-1-1
1999;Alagoas;2;20;1999-2-1
1999;Alagoas;3;52;1999-3-1
1999;Alagoas;4;4;1999-4-1
1999;Alagoas;5;1;1999-5-1
1999;Alagoas;6;0;1999-6-1
1999;Alagoas;7;0;1999-7-1
1999;Alagoas;8;3;1999-8-1
1999;Alagoas;9;3;1999-9-1
1999;Alagoas;10;4;1999-10-1
1999;Alagoas;11;15;1999-11-1
1999;Alagoas;12;12;1999-12-1
2000;Alagoas;1;11;2000-1-1
2000;Alagoas;2;16;2000-2-1
2000;Alagoas;3;32;2000-3-1
2000;Alagoas;4;20;2000-4-1
2000;Alagoas;5;1;2000-5-1
2000;Alagoas;6;0;2000-6-1
2000;Alagoas;7;0;2000-7-1
2000;Alagoas;8;4;2000-8-1
2000;Alagoas;9;22;2000-9-1
2000;Alagoas;10;13;2000-10-1
2000;Alagoas;11;2;2000-11-1
2000;Alagoas;12;2;2000-12-1
2001;Alagoas;1;5;2001-1-1
2001;Alagoas;2;4;2001-2-1
2001;Alagoas;3;0;2001-3-1
2001;Alagoas;4;0;2001-4-1
2001;Alagoas;5;2;2001-5-1
2001;Alagoas;6;2;2001-6-1
2001;Alagoas;7;0;2001-7-1
2001;Alagoas;8;1;2001-8-1
2001;Alagoas;9;5;2001-9-1
2001;Alagoas;10;15;2001-10-1
2001;Alagoas;11;22;2001-11-1
2001;Alagoas;12;30;2001-12-1
2002;Alagoas;1;12;2002-1-1
2002;Alagoas;2;15;2002-2-1
2002;Alagoas;3;27;2002-3-1
2002;Alagoas;4;6;2002-4-1
2002;Alagoas;5;1;2002-5-1
2002;Alagoas;6;0;2002-6-1
2002;Alagoas;7;5;2002-7-1
2002;Alagoas;8;3;2002-8-1
2002;Alagoas;9;14;2002-9-1
2002;Alagoas;10;30;2002-10-1
2002;Alagoas;11;50;2002-11-1
2002;Alagoas;12;95;2002-12-1
2003;Alagoas;1;150;2003-1-1
2003;Alagoas;2;33;2003-2-1
2003;Alagoas;3;15;2003-3-1
2003;Alagoas;4;20;2003-4-1
2003;Alagoas;5;1;2003-5-1
2003;Alagoas;6;0;2003-6-1
2003;Alagoas;7;0;2003-7-1
2003;Alagoas;8;2;2003-8-1
2003;Alagoas;9;8;2003-9-1
2003;Alagoas;10;10;2003-10-1
2003;Alagoas;11;17;2003-11-1
2003;Alagoas;12;43;2003-12-1
2004;Alagoas;1;9;2004-1-1
2004;Alagoas;2;7;2004-2-1
2004;Alagoas;3;16;2004-3-1
2004;Alagoas;4;6;2004-4-1
