Ano;Estado;Mes;Numero;Date
1998;Acre;1;0;1998-1-1
1998;Acre;2;0;1998-2-1
1998;Acre;3;0;1998-3-1
1998;Acre;4;0;1998-4-1
1998;Acre;5;0;1998-5-1
1998;Acre;6;3;1998-6-1
1998;Acre;7;37;1998-7-1
1998;Acre;8;130;1998-8-1
1998;Acre;9;509;1998-9-1
1998;Acre;10;44;1998-10-1
1998;Acre;11;0;1998-11-1
1998;Acre;12;7;1998-12-1
1999;Acre;1;0;1999-1-1
1999;Acre;2;0;1999-2-1
1999;Acre;3;0;1999-3-1
1999;Acre;4;0;1999-4-1
1999;Acre;5;0;1999-5-1
1999;Acre;6;0;1999-6-1
1999;Acre;7;1;1999-7-1
1999;Acre;8;63;1999-8-1
1999;Acre;9;209;1999-9-1
1999;Acre;10;60;1999-10-1
1999;Acre;11;0;1999-11-1
1999;Acre;12;0;1999-12-1
2000;Acre;1;0;2000-1-1
2000;Acre;2;0;2000-2-1
2000;Acre;3;11;2000-3-1
2000;Acre;4;1;2000-4-1
2000;Acre;5;1;2000-5-1
2000;Acre;6;1;2000-6-1
2000;Acre;7;1;2000-7-1
2000;Acre;8;136;2000-8-1
2000;Acre;9;265;2000-9-1
2000;Acre;10;18;2000-10-1
2000;Acre;11;0;2000-11-1
2000;Acre;12;0;2000-12-1
2001;Acre;1;0;2001-1-1
2001;Acre;2;0;2001-2-1
2001;Acre;3;0;2001-3-1
2001;Acre;4;0;2001-4-1
2001;Acre;5;0;2001-5-1
2001;Acre;6;1;2001-6-1
2001;Acre;7;3;2001-7-1
2001;Acre;8;396;2001-8-1
2001;Acre;9;290;2001-9-1
2001;Acre;10;137;2001-10-1
2001;Acre;11;1;2001-11-1
2001;Acre;12;0;2001-12-1
2002;Acre;1;0;2002-1-1
2002;Acre;2;1;2002-2-1
2002;Acre;3;0;2002-3-1
2002;Acre;4;0;2002-4-1
2002;Acre;5;0;2002-5-1
2002;Acre;6;0;2002-6-1
2002;Acre;7;39;2002-7-1
2002;Acre;8;728;2002-8-1
2002;Acre;9;1949;2002-9-1
2002;Acre;10;687;2002-10-1
2002;Acre;11;86;2002-11-1
2002;Acre;12;1;2002-12-1
2003;Acre;1;10;2003-1-1
2003;Acre;2;0;2003-2-1
2003;Acre;3;0;2003-3-1
2003;Acre;4;1;2003-4-1
2003;Acre;5;6;2003-5-1
2003;Acre;6;0;2003-6-1
2003;Acre;7;168;2003-7-1
2003;Acre;8;1976;2003-8-1
2003;Acre;9;3942;2003-9-1
2003;Acre;10;740;2003-10-1
2003;Acre;11;15;2003-11-1
2003;Acre;12;1;2003-12-1
2004;Acre;1;0;2004-1-1
2004;Acre;2;3;2004-2-1
2004;Acre;3;0;2004-3-1
2004;Acre;4;2;2004-4-1
2004;Acre;5;7;2004-5-1
2004;Acre;6;5;2004-6-1
2004;Acre;7;42;2004-7-1
2004;Acre;8;645;2004-8-1
2004;Acre;9;1978;2004-9-1
2004;Acre;10;461;2004-10-1
2004;Acre;11;10;2004-11-1
2004;Acre;12;7;2004-12-1
2005;Acre;1;12;2005-1-1
2005;Acre;2;0;2005-2-1
2005;Acre;3;3;2005-3-1
2005;Acre;4;1;2005-4-1
2005;Acre;5;2;2005-5-1
2005;Acre;6;27;2005-6-1
2005;Acre;7;368;2005-7-1
2005;Acre;8;4198;2005-8-1
2005;Acre;9;4253;2005-9-1
2005;Acre;10;547;2005-10-1
2005;Acre;11;14;2005-11-1
2005;Acre;12;2;2005-12-1
2006;Acre;1;4;2006-1-1
2006;Acre;2;0;2006-2-1
2006;Acre;3;0;2006-3-1
2006;Acre;4;0;2006-4-1
2006;Acre;5;8;2006-5-1
2006;Acre;6;1;2006-6-1
2006;Acre;7;33;2006-7-1
2006;Acre;8;839;2006-8-1
2006;Acre;9;237;2006-9-1
2006;Acre;10;316;2006-10-1
2006;Acre;11;18;2006-11-1
2006;Acre;12;0;2006-12-1
2007;Acre;1;0;2007-1-1
2007;Acre;2;5;2007-2-1
2007;Acre;3;2;2007-3-1
2007;Acre;4;0;2007-4-1
2007;Acre;5;1;2007-5-1
2007;Acre;6;4;2007-6-1
2007;Acre;7;29;2007-7-1
2007;Acre;8;960;2007-8-1
2007;Acre;9;208;2007-9-1
2007;Acre;10;203;2007-10-1
2007;Acre;11;7;2007-11-1
2007;Acre;12;0;2007-12-1
2008;Acre;1;0;2008-1-1
2008;Acre;2;0;2008-2-1
2008;Acre;3;0;2008-3-1
2008;Acre;4;0;2008-4-1
2008;Acre;5;0;2008-5-1
2008;Acre;6;0;2008-6-1
2008;Acre;7;41;2008-7-1
2008;Acre;8;445;2008-8-1
2008;Acre;9;1666;2008-9-1
2008;Acre;10;652;2008-10-1
2008;Acre;11;4;2008-11-1
2008;Acre;12;0;2008-12-1
2009;Acre;1;0;2009-1-1
2009;Acre;2;2;2009-2-1
2009;Acre;3;1;2009-3-1
2009;Acre;4;0;2009-4-1
2009;Acre;5;3;2009-5-1
2009;Acre;6;0;2009-6-1
2009;Acre;7;31;2009-7-1
2009;Acre;8;194;2009-8-1
2009;Acre;9;1265;2009-9-1
2009;Acre;10;565;2009-10-1
2009;Acre;11;33;2009-11-1
2009;Acre;12;1;2009-12-1
2010;Acre;1;1;2010-1-1
2010;Acre;2;0;2010-2-1
2010;Acre;3;0;2010-3-1
2010;Acre;4;3;2010-4-1
2010;Acre;5;9;2010-5-1
2010;Acre;6;1;2010-6-1
2010;Acre;7;126;2010-7-1
2010;Acre;8;1682;2010-8-1
2010;Acre;9;2531;2010-9-1
2010;Acre;10;292;2010-10-1
2010;Acre;11;39;2010-11-1
2010;Acre;12;0;2010-12-1
2011;Acre;1;0;2011-1-1
2011;Acre;2;0;2011-2-1
2011;Acre;3;0;2011-3-1
2011;Acre;4;2;2011-4-1
2011;Acre;5;3;2011-5-1
2011;Acre;6;10;2011-6-1
2011;Acre;7;93;2011-7-1
2011;Acre;8;425;2011-8-1
2011;Acre;9;1204;2011-9-1
2011;Acre;10;97;2011-10-1
2011;Acre;11;74;2011-11-1
2011;Acre;12;4;2011-12-1
2012;Acre;1;0;2012-1-1
2012;Acre;2;0;2012-2-1
2012;Acre;3;1;2012-3-1
2012;Acre;4;1;2012-4-1
2012;Acre;5;3;2012-5-1
2012;Acre;6;7;2012-6-1
2012;Acre;7;71;2012-7-1
2012;Acre;8;739;2012-8-1
2012;Acre;9;1996;2012-9-1
2012;Acre;10;348;2012-10-1
2012;Acre;11;13;2012-11-1
2012;Acre;12;1;2012-12-1
2013;Acre;1;0;2013-1-1
2013;Acre;2;0;2013-2-1
2013;Acre;3;2;2013-3-1
2013;Acre;4;19;2013-4-1
2013;Acre;5;4;2013-5-1
2013;Acre;6;8;2013-6-1
2013;Acre;7;54;2013-7-1
2013;Acre;8;679;2013-8-1
2013;Acre;9;2136;2013-9-1
2013;Acre;10;258;2013-10-1
2013;Acre;11;79;2013-11-1
2013;Acre;12;3;2013-12-1
2014;Acre;1;0;2014-1-1
2014;Acre;2;0;2014-2-1
2014;Acre;3;1;2014-3-1
2014;Acre;4;7;2014-4-1
2014;Acre;5;1;2014-5-1
2014;Acre;6;17;2014-6-1
2014;Acre;7;60;2014-7-1
2014;Acre;8;11;2014-8-1
2014;Acre;9;2175;2014-9-1
2014;Acre;10;406;2014-10-1
2014;Acre;11;56;2014-11-1
2014;Acre;12;6;2014-12-1
2015;Acre;1;1;2015-1-1
2015;Acre;2;2;2015-2-1
2015;Acre;3;2;2015-3-1
2015;Acre;4;3;2015-4-1
2015;Acre;5;2;2015-5-1
