"Ano	Estado	Mes	Numero	Periodo"
"1998	Acre	1	0	01/01/1998"
"1999	Acre	1	0	01/01/1999"
"2000	Acre	1	0	01/01/2000"
"2001	Acre	1	0	01/01/2001"
"2002	Acre	1	0	01/01/2002"
"2003	Acre	1	10	01/01/2003"
"2004	Acre	1	0	01/01/2004"
"2005	Acre	1	12	01/01/2005"
"2006	Acre	1	4	01/01/2006"
"2007	Acre	1	0	01/01/2007"
"2008	Acre	1	0	01/01/2008"
"2009	Acre	1	0	01/01/2009"
"2010	Acre	1	1	01/01/2010"
"2011	Acre	1	0	01/01/2011"
"2012	Acre	1	0	01/01/2012"
"2013	Acre	1	0	01/01/2013"
"2014	Acre	1	0	01/01/2014"
"2015	Acre	1	1	01/01/2015"
"2016	Acre	1	12	01/01/2016"
"2017	Acre	1	0	01/01/2017"
"1998	Acre	2	0	01/01/1998"
"1999	Acre	2	0	01/01/1999"
"2000	Acre	2	0	01/01/2000"
"2001	Acre	2	0	01/01/2001"
"2002	Acre	2	1	01/01/2002"
"2003	Acre	2	0	01/01/2003"
"2004	Acre	2	3	01/01/2004"
"2005	Acre	2	0	01/01/2005"
"2006	Acre	2	0	01/01/2006"
"2007	Acre	2	5	01/01/2007"
"2008	Acre	2	0	01/01/2008"
"2009	Acre	2	2	01/01/2009"
"2010	Acre	2	0	01/01/2010"
"2011	Acre	2	0	01/01/2011"
"2012	Acre	2	0	01/01/2012"
"2013	Acre	2	0	01/01/2013"
"2014	Acre	2	0	01/01/2014"
"2015	Acre	2	2	01/01/2015"
"2016	Acre	2	5	01/01/2016"
"2017	Acre	2	1	01/01/2017"
"1998	Acre	3	0	01/01/1998"
"1999	Acre	3	0	01/01/1999"
"2000	Acre	3	11	01/01/2000"
"2001	Acre	3	0	01/01/2001"
"2002	Acre	3	0	01/01/2002"
"2003	Acre	3	0	01/01/2003"
"2004	Acre	3	0	01/01/2004"
"2005	Acre	3	3	01/01/2005"
"2006	Acre	3	0	01/01/2006"
"2007	Acre	3	2	01/01/2007"
"2008	Acre	3	0	01/01/2008"
"2009	Acre	3	1	01/01/2009"
"2010	Acre	3	0	01/01/2010"
"2011	Acre	3	0	01/01/2011"
"2012	Acre	3	1	01/01/2012"
"2013	Acre	3	2	01/01/2013"
"2014	Acre	3	1	01/01/2014"
"2015	Acre	3	2	01/01/2015"
"2016	Acre	3	0	01/01/2016"
"2017	Acre	3	0	01/01/2017"
"1998	Acre	4	0	01/01/1998"
"1999	Acre	4	0	01/01/1999"
"2000	Acre	4	1	01/01/2000"
"2001	Acre	4	0	01/01/2001"
"2002	Acre	4	0	01/01/2002"
"2003	Acre	4	1	01/01/2003"
"2004	Acre	4	2	01/01/2004"
"2005	Acre	4	1	01/01/2005"
"2006	Acre	4	0	01/01/2006"
"2007	Acre	4	0	01/01/2007"
"2008	Acre	4	0	01/01/2008"
"2009	Acre	4	0	01/01/2009"
